val_image,val_masks
data/Polyp Segmentation/train/M_08052021075316_00000000U0556215_1_001-1_MP4-0014_jpg.rf.36c94c817c3e7e830fdea2df012cd139.jpg,data/Polyp Segmentation/train_masks/M_08052021075316_00000000U0556215_1_001-1_MP4-0014_jpg.rf.36c94c817c3e7e830fdea2df012cd139.jpg
data/Polyp Segmentation/train/M_08052021075316_00000000U0556215_1_001-1_MP4-0015_jpg.rf.065ed933ef670130aca5192f020c64e8.jpg,data/Polyp Segmentation/train_masks/M_08052021075316_00000000U0556215_1_001-1_MP4-0015_jpg.rf.065ed933ef670130aca5192f020c64e8.jpg
data/Polyp Segmentation/train/M_08052021075316_00000000U0556215_1_001-1_MP4-0016_jpg.rf.fa3c48d8d31ff9bcc3f6117b95a3dd61.jpg,data/Polyp Segmentation/train_masks/M_08052021075316_00000000U0556215_1_001-1_MP4-0016_jpg.rf.fa3c48d8d31ff9bcc3f6117b95a3dd61.jpg
data/Polyp Segmentation/train/M_08052021075316_00000000U0556215_1_001-1_MP4-0017_jpg.rf.adc9dce2f09e86dad0e7975b254a57cd.jpg,data/Polyp Segmentation/train_masks/M_08052021075316_00000000U0556215_1_001-1_MP4-0017_jpg.rf.adc9dce2f09e86dad0e7975b254a57cd.jpg
data/Polyp Segmentation/train/M_08052021075316_00000000U0556215_1_001-1_MP4-0019_jpg.rf.95820a3b2e251dd23171d09372c86ef5.jpg,data/Polyp Segmentation/train_masks/M_08052021075316_00000000U0556215_1_001-1_MP4-0019_jpg.rf.95820a3b2e251dd23171d09372c86ef5.jpg
data/Polyp Segmentation/train/M_08052021075316_00000000U0556215_1_001-1_MP4-0020_jpg.rf.285791a946c35345ade82df8b7718238.jpg,data/Polyp Segmentation/train_masks/M_08052021075316_00000000U0556215_1_001-1_MP4-0020_jpg.rf.285791a946c35345ade82df8b7718238.jpg
data/Polyp Segmentation/train/M_08052021075316_00000000U0556215_1_001-1_MP4-0021_jpg.rf.e9ede068200386849175dbb9a593961f.jpg,data/Polyp Segmentation/train_masks/M_08052021075316_00000000U0556215_1_001-1_MP4-0021_jpg.rf.e9ede068200386849175dbb9a593961f.jpg
data/Polyp Segmentation/train/M_08052021075316_00000000U0556215_1_001-1_MP4-0022_jpg.rf.1ee36e839a98cb48925969adbdb3d22b.jpg,data/Polyp Segmentation/train_masks/M_08052021075316_00000000U0556215_1_001-1_MP4-0022_jpg.rf.1ee36e839a98cb48925969adbdb3d22b.jpg
data/Polyp Segmentation/train/M_08052021075316_00000000U0556215_1_001-1_MP4-0024_jpg.rf.b74595538a6bd4415dcb6d6311eb2151.jpg,data/Polyp Segmentation/train_masks/M_08052021075316_00000000U0556215_1_001-1_MP4-0024_jpg.rf.b74595538a6bd4415dcb6d6311eb2151.jpg
data/Polyp Segmentation/train/M_08052021075316_00000000U0556215_1_001-1_MP4-0025_jpg.rf.d762d803b526f95bbd6bfb1151c94547.jpg,data/Polyp Segmentation/train_masks/M_08052021075316_00000000U0556215_1_001-1_MP4-0025_jpg.rf.d762d803b526f95bbd6bfb1151c94547.jpg
data/Polyp Segmentation/train/M_08052021075316_00000000U0556215_1_001-1_MP4-0027_jpg.rf.73f3f7b54b787d4a225e01dfededd342.jpg,data/Polyp Segmentation/train_masks/M_08052021075316_00000000U0556215_1_001-1_MP4-0027_jpg.rf.73f3f7b54b787d4a225e01dfededd342.jpg
data/Polyp Segmentation/train/M_08052021075316_00000000U0556215_1_001-1_MP4-0028_jpg.rf.2bf7afdd13c727bdaeff83f840f8bcf2.jpg,data/Polyp Segmentation/train_masks/M_08052021075316_00000000U0556215_1_001-1_MP4-0028_jpg.rf.2bf7afdd13c727bdaeff83f840f8bcf2.jpg
data/Polyp Segmentation/train/M_08052021075316_00000000U0556215_1_001-1_MP4-0029_jpg.rf.60209d390c81a8066b204fb5ae9aa116.jpg,data/Polyp Segmentation/train_masks/M_08052021075316_00000000U0556215_1_001-1_MP4-0029_jpg.rf.60209d390c81a8066b204fb5ae9aa116.jpg
data/Polyp Segmentation/train/M_08052021075316_00000000U0556215_1_001-1_MP4-0030_jpg.rf.813936f896b79153298e5d65df1aa727.jpg,data/Polyp Segmentation/train_masks/M_08052021075316_00000000U0556215_1_001-1_MP4-0030_jpg.rf.813936f896b79153298e5d65df1aa727.jpg
data/Polyp Segmentation/train/M_08052021075316_00000000U0556215_1_001-1_MP4-0031_jpg.rf.85d00484e9c8f8e1c46c13e9f86e6bcd.jpg,data/Polyp Segmentation/train_masks/M_08052021075316_00000000U0556215_1_001-1_MP4-0031_jpg.rf.85d00484e9c8f8e1c46c13e9f86e6bcd.jpg
data/Polyp Segmentation/train/M_08052021075316_00000000U0556215_1_001-1_MP4-0032_jpg.rf.3d298cd5db5ed03dd88b9a753c85aff0.jpg,data/Polyp Segmentation/train_masks/M_08052021075316_00000000U0556215_1_001-1_MP4-0032_jpg.rf.3d298cd5db5ed03dd88b9a753c85aff0.jpg
data/Polyp Segmentation/train/M_08052021075316_00000000U0556215_1_001-1_MP4-0033_jpg.rf.f4cd5e3bb6ffaa836c64eab0b3d0a8a3.jpg,data/Polyp Segmentation/train_masks/M_08052021075316_00000000U0556215_1_001-1_MP4-0033_jpg.rf.f4cd5e3bb6ffaa836c64eab0b3d0a8a3.jpg
data/Polyp Segmentation/train/M_08052021075316_00000000U0556215_1_001-1_MP4-0034_jpg.rf.1cf5e75224d3cc1e7da3667a88589420.jpg,data/Polyp Segmentation/train_masks/M_08052021075316_00000000U0556215_1_001-1_MP4-0034_jpg.rf.1cf5e75224d3cc1e7da3667a88589420.jpg
data/Polyp Segmentation/train/M_08052021075316_00000000U0556215_1_001-1_MP4-0035_jpg.rf.5655360014ba862f076470a872c9f16c.jpg,data/Polyp Segmentation/train_masks/M_08052021075316_00000000U0556215_1_001-1_MP4-0035_jpg.rf.5655360014ba862f076470a872c9f16c.jpg
data/Polyp Segmentation/train/M_08052021075316_00000000U0556215_1_001-1_MP4-0036_jpg.rf.b58dafbf2be0c197e6aa9f237e415600.jpg,data/Polyp Segmentation/train_masks/M_08052021075316_00000000U0556215_1_001-1_MP4-0036_jpg.rf.b58dafbf2be0c197e6aa9f237e415600.jpg
data/Polyp Segmentation/train/M_08052021075316_00000000U0556215_1_001-1_MP4-0039_jpg.rf.6face35136c51b8a04b793c0cb8b06c8.jpg,data/Polyp Segmentation/train_masks/M_08052021075316_00000000U0556215_1_001-1_MP4-0039_jpg.rf.6face35136c51b8a04b793c0cb8b06c8.jpg
data/Polyp Segmentation/train/M_08052021075316_00000000U0556215_1_001-1_MP4-0040_jpg.rf.d8b6c0b74a3024e91fb4c503d4865538.jpg,data/Polyp Segmentation/train_masks/M_08052021075316_00000000U0556215_1_001-1_MP4-0040_jpg.rf.d8b6c0b74a3024e91fb4c503d4865538.jpg
data/Polyp Segmentation/train/M_12152022100802_00000000U1506202_1_001-1_MP4-0001_jpg.rf.61bd88252a1bf514ee00579f0b456f6c.jpg,data/Polyp Segmentation/train_masks/M_12152022100802_00000000U1506202_1_001-1_MP4-0001_jpg.rf.61bd88252a1bf514ee00579f0b456f6c.jpg
data/Polyp Segmentation/train/M_12152022100802_00000000U1506202_1_001-1_MP4-0002_jpg.rf.ca286a4433d995e991e3fc11550b48c0.jpg,data/Polyp Segmentation/train_masks/M_12152022100802_00000000U1506202_1_001-1_MP4-0002_jpg.rf.ca286a4433d995e991e3fc11550b48c0.jpg
data/Polyp Segmentation/train/M_12152022100802_00000000U1506202_1_001-1_MP4-0003_jpg.rf.6cf3fb2a5b28778ee7746dbce466c17a.jpg,data/Polyp Segmentation/train_masks/M_12152022100802_00000000U1506202_1_001-1_MP4-0003_jpg.rf.6cf3fb2a5b28778ee7746dbce466c17a.jpg
data/Polyp Segmentation/train/M_12152022100802_00000000U1506202_1_001-1_MP4-0004_jpg.rf.081607d49c2368dfd5aafbd16d881906.jpg,data/Polyp Segmentation/train_masks/M_12152022100802_00000000U1506202_1_001-1_MP4-0004_jpg.rf.081607d49c2368dfd5aafbd16d881906.jpg
data/Polyp Segmentation/train/M_12152022100802_00000000U1506202_1_001-1_MP4-0005_jpg.rf.d030c4a2772cca44e84d53a8f605e6d7.jpg,data/Polyp Segmentation/train_masks/M_12152022100802_00000000U1506202_1_001-1_MP4-0005_jpg.rf.d030c4a2772cca44e84d53a8f605e6d7.jpg
data/Polyp Segmentation/train/M_12152022100802_00000000U1506202_1_001-1_MP4-0006_jpg.rf.f7648c191b00f4f00023d2d301c12539.jpg,data/Polyp Segmentation/train_masks/M_12152022100802_00000000U1506202_1_001-1_MP4-0006_jpg.rf.f7648c191b00f4f00023d2d301c12539.jpg
data/Polyp Segmentation/train/M_12152022100802_00000000U1506202_1_001-1_MP4-0007_jpg.rf.4f09cf4ef5a476503bf0869caad8aca2.jpg,data/Polyp Segmentation/train_masks/M_12152022100802_00000000U1506202_1_001-1_MP4-0007_jpg.rf.4f09cf4ef5a476503bf0869caad8aca2.jpg
data/Polyp Segmentation/train/M_12152022100802_00000000U1506202_1_001-1_MP4-0008_jpg.rf.c9ae9bbf134df95b7422487301f56dd1.jpg,data/Polyp Segmentation/train_masks/M_12152022100802_00000000U1506202_1_001-1_MP4-0008_jpg.rf.c9ae9bbf134df95b7422487301f56dd1.jpg
data/Polyp Segmentation/train/M_12152022100802_00000000U1506202_1_001-1_MP4-0010_jpg.rf.6c46084a64222b3be647f51eb47656cd.jpg,data/Polyp Segmentation/train_masks/M_12152022100802_00000000U1506202_1_001-1_MP4-0010_jpg.rf.6c46084a64222b3be647f51eb47656cd.jpg
data/Polyp Segmentation/train/M_12152022100802_00000000U1506202_1_001-1_MP4-0011_jpg.rf.d23bacf328cf079fa94c9ed46976632e.jpg,data/Polyp Segmentation/train_masks/M_12152022100802_00000000U1506202_1_001-1_MP4-0011_jpg.rf.d23bacf328cf079fa94c9ed46976632e.jpg
data/Polyp Segmentation/train/M_12152022100802_00000000U1506202_1_001-1_MP4-0012_jpg.rf.02905e88e66d6f847d6c8a969a884948.jpg,data/Polyp Segmentation/train_masks/M_12152022100802_00000000U1506202_1_001-1_MP4-0012_jpg.rf.02905e88e66d6f847d6c8a969a884948.jpg
data/Polyp Segmentation/train/M_12152022100802_00000000U1506202_1_001-1_MP4-0013_jpg.rf.b8e3581c58bf3f0fca62a412757fbe0b.jpg,data/Polyp Segmentation/train_masks/M_12152022100802_00000000U1506202_1_001-1_MP4-0013_jpg.rf.b8e3581c58bf3f0fca62a412757fbe0b.jpg
data/Polyp Segmentation/train/M_12152022100802_00000000U1506202_1_001-1_MP4-0014_jpg.rf.dc987c66fcb65157f58a1de94d982855.jpg,data/Polyp Segmentation/train_masks/M_12152022100802_00000000U1506202_1_001-1_MP4-0014_jpg.rf.dc987c66fcb65157f58a1de94d982855.jpg
data/Polyp Segmentation/train/M_12152022100802_00000000U1506202_1_001-1_MP4-0015_jpg.rf.20c0f4fa8aab52338afdefda1e1566a1.jpg,data/Polyp Segmentation/train_masks/M_12152022100802_00000000U1506202_1_001-1_MP4-0015_jpg.rf.20c0f4fa8aab52338afdefda1e1566a1.jpg
data/Polyp Segmentation/train/M_12152022100802_00000000U1506202_1_001-1_MP4-0016_jpg.rf.aa0bc8cbc70088b3f7b5bd9decd9b3e1.jpg,data/Polyp Segmentation/train_masks/M_12152022100802_00000000U1506202_1_001-1_MP4-0016_jpg.rf.aa0bc8cbc70088b3f7b5bd9decd9b3e1.jpg
data/Polyp Segmentation/train/M_12152022100802_00000000U1506202_1_001-1_MP4-0017_jpg.rf.e2a95ae3147d3b5d2bc22c4345edb9dd.jpg,data/Polyp Segmentation/train_masks/M_12152022100802_00000000U1506202_1_001-1_MP4-0017_jpg.rf.e2a95ae3147d3b5d2bc22c4345edb9dd.jpg
data/Polyp Segmentation/train/M_12152022100802_00000000U1506202_1_001-1_MP4-0018_jpg.rf.0805e06fb5506c1af411b7d25bbcb5f5.jpg,data/Polyp Segmentation/train_masks/M_12152022100802_00000000U1506202_1_001-1_MP4-0018_jpg.rf.0805e06fb5506c1af411b7d25bbcb5f5.jpg
data/Polyp Segmentation/train/M_12152022100802_00000000U1506202_1_001-1_MP4-0020_jpg.rf.f7f277bea33d8277e05cac267777260f.jpg,data/Polyp Segmentation/train_masks/M_12152022100802_00000000U1506202_1_001-1_MP4-0020_jpg.rf.f7f277bea33d8277e05cac267777260f.jpg
data/Polyp Segmentation/train/M_12152022100802_00000000U1506202_1_001-1_MP4-0021_jpg.rf.ec43916b5a84bcbcbef803279d984cdf.jpg,data/Polyp Segmentation/train_masks/M_12152022100802_00000000U1506202_1_001-1_MP4-0021_jpg.rf.ec43916b5a84bcbcbef803279d984cdf.jpg
data/Polyp Segmentation/train/M_12152022100802_00000000U1506202_1_001-1_MP4-0022_jpg.rf.1ca9995049bef749515bc745bc257d29.jpg,data/Polyp Segmentation/train_masks/M_12152022100802_00000000U1506202_1_001-1_MP4-0022_jpg.rf.1ca9995049bef749515bc745bc257d29.jpg
data/Polyp Segmentation/train/M_12152022100802_00000000U1506202_1_001-1_MP4-0023_jpg.rf.e9755b4684d148b8cb90b531b77c7e82.jpg,data/Polyp Segmentation/train_masks/M_12152022100802_00000000U1506202_1_001-1_MP4-0023_jpg.rf.e9755b4684d148b8cb90b531b77c7e82.jpg
data/Polyp Segmentation/train/M_12152022100802_00000000U1506202_1_001-1_MP4-0024_jpg.rf.8b966bda3f7f4d40e5561c53d9298215.jpg,data/Polyp Segmentation/train_masks/M_12152022100802_00000000U1506202_1_001-1_MP4-0024_jpg.rf.8b966bda3f7f4d40e5561c53d9298215.jpg
data/Polyp Segmentation/train/M_12152022100802_00000000U1506202_1_001-1_MP4-0026_jpg.rf.9a9a61a255853da145a32c2a537605f6.jpg,data/Polyp Segmentation/train_masks/M_12152022100802_00000000U1506202_1_001-1_MP4-0026_jpg.rf.9a9a61a255853da145a32c2a537605f6.jpg
data/Polyp Segmentation/train/M_12152022100802_00000000U1506202_1_001-1_MP4-0027_jpg.rf.e7107a1611655242b06022771ef0fed2.jpg,data/Polyp Segmentation/train_masks/M_12152022100802_00000000U1506202_1_001-1_MP4-0027_jpg.rf.e7107a1611655242b06022771ef0fed2.jpg
data/Polyp Segmentation/train/M_12152022100802_00000000U1506202_1_001-1_MP4-0028_jpg.rf.096eb3b6af0c8b3d6ef02ec11caffb9f.jpg,data/Polyp Segmentation/train_masks/M_12152022100802_00000000U1506202_1_001-1_MP4-0028_jpg.rf.096eb3b6af0c8b3d6ef02ec11caffb9f.jpg
data/Polyp Segmentation/train/M_12152022100802_00000000U1506202_1_001-1_MP4-0029_jpg.rf.c94990ef09366287ccaf23a861f0d81d.jpg,data/Polyp Segmentation/train_masks/M_12152022100802_00000000U1506202_1_001-1_MP4-0029_jpg.rf.c94990ef09366287ccaf23a861f0d81d.jpg
data/Polyp Segmentation/train/M_12152022100802_00000000U1506202_1_001-1_MP4-0030_jpg.rf.b9127193c1dce5dcfab7e558cfd0afbf.jpg,data/Polyp Segmentation/train_masks/M_12152022100802_00000000U1506202_1_001-1_MP4-0030_jpg.rf.b9127193c1dce5dcfab7e558cfd0afbf.jpg
data/Polyp Segmentation/train/M_12152022100802_00000000U1506202_1_001-1_MP4-0031_jpg.rf.c7a3bb3524174a8a45790624120dbbda.jpg,data/Polyp Segmentation/train_masks/M_12152022100802_00000000U1506202_1_001-1_MP4-0031_jpg.rf.c7a3bb3524174a8a45790624120dbbda.jpg
data/Polyp Segmentation/train/M_12152022100802_00000000U1506202_1_001-1_MP4-0032_jpg.rf.5073b974b3134f6fe2c2d701fa54a8f5.jpg,data/Polyp Segmentation/train_masks/M_12152022100802_00000000U1506202_1_001-1_MP4-0032_jpg.rf.5073b974b3134f6fe2c2d701fa54a8f5.jpg
data/Polyp Segmentation/train/M_12152022100802_00000000U1506202_1_001-1_MP4-0033_jpg.rf.11433b42efe29f38c01de6f9f5b2271e.jpg,data/Polyp Segmentation/train_masks/M_12152022100802_00000000U1506202_1_001-1_MP4-0033_jpg.rf.11433b42efe29f38c01de6f9f5b2271e.jpg
data/Polyp Segmentation/train/M_12152022100802_00000000U1506202_1_001-1_MP4-0035_jpg.rf.1eb039a953ac3193b3753fbc4ef05578.jpg,data/Polyp Segmentation/train_masks/M_12152022100802_00000000U1506202_1_001-1_MP4-0035_jpg.rf.1eb039a953ac3193b3753fbc4ef05578.jpg
data/Polyp Segmentation/train/M_12152022100802_00000000U1506202_1_001-1_MP4-0036_jpg.rf.fea944e861ae7912472d7d8e40a2d963.jpg,data/Polyp Segmentation/train_masks/M_12152022100802_00000000U1506202_1_001-1_MP4-0036_jpg.rf.fea944e861ae7912472d7d8e40a2d963.jpg
data/Polyp Segmentation/train/M_12152022100802_00000000U1506202_1_001-1_MP4-0038_jpg.rf.25194c045ad128c96fa8e6559a8f4b9a.jpg,data/Polyp Segmentation/train_masks/M_12152022100802_00000000U1506202_1_001-1_MP4-0038_jpg.rf.25194c045ad128c96fa8e6559a8f4b9a.jpg
data/Polyp Segmentation/valid/M_08052021075316_00000000U0556215_1_001-1_MP4-0001_jpg.rf.f44001ec4390da4b39987bee98561049.jpg,data/Polyp Segmentation/valid_masks/M_08052021075316_00000000U0556215_1_001-1_MP4-0001_jpg.rf.f44001ec4390da4b39987bee98561049.jpg
data/Polyp Segmentation/valid/M_08052021075316_00000000U0556215_1_001-1_MP4-0002_jpg.rf.9d19e8149b07b2ef8a75452465f05c4c.jpg,data/Polyp Segmentation/valid_masks/M_08052021075316_00000000U0556215_1_001-1_MP4-0002_jpg.rf.9d19e8149b07b2ef8a75452465f05c4c.jpg
data/Polyp Segmentation/valid/M_08052021075316_00000000U0556215_1_001-1_MP4-0009_jpg.rf.eb3ff8f6de89ccf0e9b4f4b941b2e1a5.jpg,data/Polyp Segmentation/valid_masks/M_08052021075316_00000000U0556215_1_001-1_MP4-0009_jpg.rf.eb3ff8f6de89ccf0e9b4f4b941b2e1a5.jpg
data/Polyp Segmentation/valid/M_08052021075316_00000000U0556215_1_001-1_MP4-0018_jpg.rf.2e69972d6293dce4d930198e8f1d0fd4.jpg,data/Polyp Segmentation/valid_masks/M_08052021075316_00000000U0556215_1_001-1_MP4-0018_jpg.rf.2e69972d6293dce4d930198e8f1d0fd4.jpg
data/Polyp Segmentation/valid/M_08052021075316_00000000U0556215_1_001-1_MP4-0023_jpg.rf.6974a4bca5aa1321c856062cd664a1fa.jpg,data/Polyp Segmentation/valid_masks/M_08052021075316_00000000U0556215_1_001-1_MP4-0023_jpg.rf.6974a4bca5aa1321c856062cd664a1fa.jpg
data/Polyp Segmentation/valid/M_08052021075316_00000000U0556215_1_001-1_MP4-0026_jpg.rf.ff2960fb4f0f57101e6b535f1cac79b0.jpg,data/Polyp Segmentation/valid_masks/M_08052021075316_00000000U0556215_1_001-1_MP4-0026_jpg.rf.ff2960fb4f0f57101e6b535f1cac79b0.jpg
data/Polyp Segmentation/valid/M_08052021075316_00000000U0556215_1_001-1_MP4-0037_jpg.rf.1bd9e7818544dc6e34b10797010c3553.jpg,data/Polyp Segmentation/valid_masks/M_08052021075316_00000000U0556215_1_001-1_MP4-0037_jpg.rf.1bd9e7818544dc6e34b10797010c3553.jpg
data/Polyp Segmentation/valid/M_08052021075316_00000000U0556215_1_001-1_MP4-0038_jpg.rf.ca4888e0050ac082fa87eb345a0793e0.jpg,data/Polyp Segmentation/valid_masks/M_08052021075316_00000000U0556215_1_001-1_MP4-0038_jpg.rf.ca4888e0050ac082fa87eb345a0793e0.jpg
data/Polyp Segmentation/valid/M_12152022100802_00000000U1506202_1_001-1_MP4-0009_jpg.rf.e5cbbe96198fc3fca4e2e99deac35646.jpg,data/Polyp Segmentation/valid_masks/M_12152022100802_00000000U1506202_1_001-1_MP4-0009_jpg.rf.e5cbbe96198fc3fca4e2e99deac35646.jpg
data/Polyp Segmentation/valid/M_12152022100802_00000000U1506202_1_001-1_MP4-0019_jpg.rf.57bdeb480c36cc8576e725a5b1401290.jpg,data/Polyp Segmentation/valid_masks/M_12152022100802_00000000U1506202_1_001-1_MP4-0019_jpg.rf.57bdeb480c36cc8576e725a5b1401290.jpg
data/Polyp Segmentation/valid/M_12152022100802_00000000U1506202_1_001-1_MP4-0025_jpg.rf.163e12ae9f0b805b80d3300f038a013a.jpg,data/Polyp Segmentation/valid_masks/M_12152022100802_00000000U1506202_1_001-1_MP4-0025_jpg.rf.163e12ae9f0b805b80d3300f038a013a.jpg
data/Polyp Segmentation/valid/M_12152022100802_00000000U1506202_1_001-1_MP4-0034_jpg.rf.ff6c3448e65558a653c0dfb65b51cf24.jpg,data/Polyp Segmentation/valid_masks/M_12152022100802_00000000U1506202_1_001-1_MP4-0034_jpg.rf.ff6c3448e65558a653c0dfb65b51cf24.jpg
data/Polyp Segmentation/valid/M_12152022100802_00000000U1506202_1_001-1_MP4-0037_jpg.rf.acaf4d5ff79fcd27fc527af0eaf95b02.jpg,data/Polyp Segmentation/valid_masks/M_12152022100802_00000000U1506202_1_001-1_MP4-0037_jpg.rf.acaf4d5ff79fcd27fc527af0eaf95b02.jpg
data/Polyp Segmentation/valid/M_12152022100802_00000000U1506202_1_001-1_MP4-0039_jpg.rf.e1dc5f1e7c005a932a86c66c8252875f.jpg,data/Polyp Segmentation/valid_masks/M_12152022100802_00000000U1506202_1_001-1_MP4-0039_jpg.rf.e1dc5f1e7c005a932a86c66c8252875f.jpg
data/Polyp Segmentation/valid/M_12152022100802_00000000U1506202_1_001-1_MP4-0040_jpg.rf.cbb88f3b79e10188aaa5241756fb6e3b.jpg,data/Polyp Segmentation/valid_masks/M_12152022100802_00000000U1506202_1_001-1_MP4-0040_jpg.rf.cbb88f3b79e10188aaa5241756fb6e3b.jpg
data/Polyp Segmentation/valid/M_12152022100802_00000000U1506202_1_001-1_MP4-0041_jpg.rf.e881c996f29535c641c8d856b1d25a68.jpg,data/Polyp Segmentation/valid_masks/M_12152022100802_00000000U1506202_1_001-1_MP4-0041_jpg.rf.e881c996f29535c641c8d856b1d25a68.jpg
